Time,ECG1_Filtered
2025-05-22T17:02:07.284,-0.04
2025-05-22T17:02:07.287,-0.13
2025-05-22T17:02:07.291,-0.2
2025-05-22T17:02:07.295,-0.22
2025-05-22T17:02:07.299,-0.23
2025-05-22T17:02:07.302,-0.24
2025-05-22T17:02:07.306,-0.26
2025-05-22T17:02:07.310,-0.28
2025-05-22T17:02:07.314,-0.3
2025-05-22T17:02:07.317,-0.33
2025-05-22T17:02:07.321,-0.35
2025-05-22T17:02:07.325,-0.38
2025-05-22T17:02:07.329,-0.41
2025-05-22T17:02:07.332,-0.43
2025-05-22T17:02:07.336,-0.44
2025-05-22T17:02:07.340,-0.44
2025-05-22T17:02:07.344,-0.44
2025-05-22T17:02:07.347,-0.44
2025-05-22T17:02:07.351,-0.43
2025-05-22T17:02:07.355,-0.42
2025-05-22T17:02:07.359,-0.41
2025-05-22T17:02:07.362,-0.4
2025-05-22T17:02:07.366,-0.39
2025-05-22T17:02:07.370,-0.38
2025-05-22T17:02:07.374,-0.37
2025-05-22T17:02:07.377,-0.36
2025-05-22T17:02:07.381,-0.36
2025-05-22T17:02:07.385,-0.35
2025-05-22T17:02:07.389,-0.32
2025-05-22T17:02:07.392,-0.23
2025-05-22T17:02:07.396,-0.08
2025-05-22T17:02:07.400,0.14
2025-05-22T17:02:07.404,0.43
2025-05-22T17:02:07.407,0.78
2025-05-22T17:02:07.411,1.17
2025-05-22T17:02:07.415,1.57
2025-05-22T17:02:07.419,1.9
2025-05-22T17:02:07.422,2.01
2025-05-22T17:02:07.426,1.82
2025-05-22T17:02:07.430,1.36
2025-05-22T17:02:07.434,0.78
2025-05-22T17:02:07.437,0.2
2025-05-22T17:02:07.441,-0.26
2025-05-22T17:02:07.445,-0.59
2025-05-22T17:02:07.449,-0.77
2025-05-22T17:02:07.452,-0.84
2025-05-22T17:02:07.456,-0.8
2025-05-22T17:02:07.460,-0.71
2025-05-22T17:02:07.464,-0.59
2025-05-22T17:02:07.467,-0.48
2025-05-22T17:02:07.471,-0.39
2025-05-22T17:02:07.475,-0.32
2025-05-22T17:02:07.479,-0.26
2025-05-22T17:02:07.482,-0.23
2025-05-22T17:02:07.486,-0.2
2025-05-22T17:02:07.490,-0.17
2025-05-22T17:02:07.494,-0.15
2025-05-22T17:02:07.497,-0.13
2025-05-22T17:02:07.501,-0.12
2025-05-22T17:02:07.505,-0.1
2025-05-22T17:02:07.509,-0.09
2025-05-22T17:02:07.512,-0.07
2025-05-22T17:02:07.516,-0.06
2025-05-22T17:02:07.520,-0.04
2025-05-22T17:02:07.524,-0.02
2025-05-22T17:02:07.527,-0.01
2025-05-22T17:02:07.531,0.01
2025-05-22T17:02:07.535,0.02
2025-05-22T17:02:07.539,0.03
2025-05-22T17:02:07.542,0.05
2025-05-22T17:02:07.546,0.06
2025-05-22T17:02:07.550,0.07
2025-05-22T17:02:07.554,0.08
2025-05-22T17:02:07.557,0.1
2025-05-22T17:02:07.561,0.11
2025-05-22T17:02:07.565,0.13
2025-05-22T17:02:07.569,0.14
2025-05-22T17:02:07.572,0.16
2025-05-22T17:02:07.576,0.17
2025-05-22T17:02:07.580,0.18
2025-05-22T17:02:07.584,0.2
2025-05-22T17:02:07.587,0.21
2025-05-22T17:02:07.591,0.22
2025-05-22T17:02:07.595,0.24
2025-05-22T17:02:07.599,0.25
2025-05-22T17:02:07.602,0.27
2025-05-22T17:02:07.606,0.29
2025-05-22T17:02:07.610,0.31
2025-05-22T17:02:07.614,0.33
2025-05-22T17:02:07.617,0.36
2025-05-22T17:02:07.621,0.39
2025-05-22T17:02:07.625,0.42
2025-05-22T17:02:07.629,0.45
2025-05-22T17:02:07.632,0.48
2025-05-22T17:02:07.636,0.51
2025-05-22T17:02:07.640,0.55
2025-05-22T17:02:07.644,0.6
2025-05-22T17:02:07.648,0.67
2025-05-22T17:02:07.652,0.7
2025-05-22T17:02:07.655,0.67
2025-05-22T17:02:07.659,0.6
2025-05-22T17:02:07.663,0.51
2025-05-22T17:02:07.667,0.41
2025-05-22T17:02:07.670,0.32
2025-05-22T17:02:07.674,0.24
2025-05-22T17:02:07.678,0.16
2025-05-22T17:02:07.682,0.09
2025-05-22T17:02:07.685,0.03
2025-05-22T17:02:07.689,-0.03
2025-05-22T17:02:07.693,-0.08
2025-05-22T17:02:07.697,-0.13
2025-05-22T17:02:07.700,-0.17
2025-05-22T17:02:07.704,-0.2
2025-05-22T17:02:07.708,-0.23
2025-05-22T17:02:07.712,-0.25
2025-05-22T17:02:07.715,-0.26
2025-05-22T17:02:07.719,-0.27
2025-05-22T17:02:07.723,-0.28
2025-05-22T17:02:07.727,-0.28
2025-05-22T17:02:07.730,-0.28
2025-05-22T17:02:07.734,-0.28
2025-05-22T17:02:07.738,-0.27
2025-05-22T17:02:07.742,-0.27
2025-05-22T17:02:07.745,-0.26
2025-05-22T17:02:07.749,-0.25
2025-05-22T17:02:07.753,-0.24
2025-05-22T17:02:07.757,-0.23
2025-05-22T17:02:07.760,-0.23
2025-05-22T17:02:07.764,-0.22
2025-05-22T17:02:07.768,-0.21
2025-05-22T17:02:07.772,-0.21
2025-05-22T17:02:07.775,-0.2
2025-05-22T17:02:07.779,-0.2
2025-05-22T17:02:07.783,-0.19
2025-05-22T17:02:07.787,-0.19
2025-05-22T17:02:07.790,-0.19
2025-05-22T17:02:07.794,-0.18
2025-05-22T17:02:07.798,-0.18
2025-05-22T17:02:07.802,-0.18
2025-05-22T17:02:07.806,-0.18
2025-05-22T17:02:07.809,-0.18
2025-05-22T17:02:07.813,-0.17
2025-05-22T17:02:07.817,-0.18
2025-05-22T17:02:07.820,-0.18
2025-05-22T17:02:07.824,-0.18
2025-05-22T17:02:07.828,-0.18
2025-05-22T17:02:07.832,-0.18
2025-05-22T17:02:07.835,-0.18
2025-05-22T17:02:07.839,-0.18
2025-05-22T17:02:07.843,-0.18
2025-05-22T17:02:07.847,-0.19
2025-05-22T17:02:07.850,-0.19
2025-05-22T17:02:07.854,-0.19
2025-05-22T17:02:07.858,-0.19
2025-05-22T17:02:07.862,-0.2
2025-05-22T17:02:07.865,-0.2
2025-05-22T17:02:07.869,-0.2
2025-05-22T17:02:07.873,-0.21
2025-05-22T17:02:07.877,-0.21
2025-05-22T17:02:07.880,-0.21
2025-05-22T17:02:07.884,-0.21
2025-05-22T17:02:07.888,-0.21
2025-05-22T17:02:07.892,-0.21
2025-05-22T17:02:07.895,-0.2
2025-05-22T17:02:07.899,-0.2
2025-05-22T17:02:07.903,-0.2
2025-05-22T17:02:07.907,-0.2
2025-05-22T17:02:07.910,-0.2
2025-05-22T17:02:07.914,-0.21
2025-05-22T17:02:07.918,-0.21
2025-05-22T17:02:07.922,-0.21
2025-05-22T17:02:07.925,-0.22
2025-05-22T17:02:07.929,-0.22
2025-05-22T17:02:07.933,-0.22
2025-05-22T17:02:07.937,-0.22
2025-05-22T17:02:07.940,-0.21
2025-05-22T17:02:07.944,-0.21
2025-05-22T17:02:07.948,-0.2
2025-05-22T17:02:07.952,-0.19
2025-05-22T17:02:07.955,-0.19
2025-05-22T17:02:07.959,-0.18
2025-05-22T17:02:07.963,-0.18
2025-05-22T17:02:07.967,-0.18
2025-05-22T17:02:07.970,-0.18
2025-05-22T17:02:07.974,-0.18
2025-05-22T17:02:07.978,-0.18
2025-05-22T17:02:07.982,-0.18
2025-05-22T17:02:07.985,-0.18
2025-05-22T17:02:07.989,-0.18
2025-05-22T17:02:07.993,-0.18
2025-05-22T17:02:07.997,-0.18
2025-05-22T17:02:08.000,-0.18
2025-05-22T17:02:08.004,-0.17
2025-05-22T17:02:08.008,-0.16
2025-05-22T17:02:08.012,-0.15
2025-05-22T17:02:08.015,-0.15
2025-05-22T17:02:08.019,-0.15
2025-05-22T17:02:08.023,-0.15
2025-05-22T17:02:08.027,-0.15
2025-05-22T17:02:08.030,-0.15
2025-05-22T17:02:08.034,-0.15
2025-05-22T17:02:08.038,-0.15
2025-05-22T17:02:08.042,-0.15
2025-05-22T17:02:08.045,-0.15
2025-05-22T17:02:08.049,-0.14
2025-05-22T17:02:08.053,-0.14
2025-05-22T17:02:08.057,-0.14
2025-05-22T17:02:08.060,-0.13
2025-05-22T17:02:08.064,-0.13
2025-05-22T17:02:08.068,-0.13
2025-05-22T17:02:08.072,-0.12
2025-05-22T17:02:08.075,-0.12
2025-05-22T17:02:08.079,-0.12
2025-05-22T17:02:08.083,-0.13
2025-05-22T17:02:08.087,-0.13
2025-05-22T17:02:08.090,-0.13
2025-05-22T17:02:08.094,-0.12
2025-05-22T17:02:08.098,-0.12
2025-05-22T17:02:08.102,-0.12
2025-05-22T17:02:08.105,-0.12
2025-05-22T17:02:08.109,-0.12
2025-05-22T17:02:08.113,-0.12
2025-05-22T17:02:08.117,-0.12
2025-05-22T17:02:08.120,-0.12
2025-05-22T17:02:08.124,-0.13
2025-05-22T17:02:08.128,-0.13
2025-05-22T17:02:08.132,-0.12
2025-05-22T17:02:08.135,-0.12
2025-05-22T17:02:08.139,-0.11
2025-05-22T17:02:08.143,-0.1
2025-05-22T17:02:08.147,-0.1
2025-05-22T17:02:08.150,-0.1
2025-05-22T17:02:08.154,-0.1
2025-05-22T17:02:08.158,-0.1
2025-05-22T17:02:08.162,-0.1
2025-05-22T17:02:08.165,-0.1
2025-05-22T17:02:08.169,-0.1
2025-05-22T17:02:08.173,-0.1
2025-05-22T17:02:08.177,-0.09
2025-05-22T17:02:08.180,-0.09
2025-05-22T17:02:08.184,-0.09
2025-05-22T17:02:08.188,-0.08
2025-05-22T17:02:08.192,-0.07
2025-05-22T17:02:08.195,-0.06
2025-05-22T17:02:08.199,-0.05
2025-05-22T17:02:08.203,-0.03
2025-05-22T17:02:08.207,-0.02
2025-05-22T17:02:08.210,0.01
2025-05-22T17:02:08.214,0.04
2025-05-22T17:02:08.218,0.08
2025-05-22T17:02:08.222,0.11
2025-05-22T17:02:08.225,0.14
2025-05-22T17:02:08.229,0.15
2025-05-22T17:02:08.233,0.16
2025-05-22T17:02:08.237,0.15
2025-05-22T17:02:08.240,0.12
2025-05-22T17:02:08.244,0.09
2025-05-22T17:02:08.248,0.06
2025-05-22T17:02:08.252,0.02
2025-05-22T17:02:08.255,-0.01
2025-05-22T17:02:08.259,-0.05
2025-05-22T17:02:08.263,-0.08
2025-05-22T17:02:08.267,-0.12
2025-05-22T17:02:08.270,-0.14
2025-05-22T17:02:08.274,-0.16
2025-05-22T17:02:08.278,-0.18
2025-05-22T17:02:08.282,-0.18
2025-05-22T17:02:08.285,-0.18
2025-05-22T17:02:08.289,-0.17
2025-05-22T17:02:08.293,-0.17
2025-05-22T17:02:08.297,-0.16
2025-05-22T17:02:08.300,-0.15
2025-05-22T17:02:08.304,-0.14
2025-05-22T17:02:08.308,-0.14
2025-05-22T17:02:08.312,-0.13
2025-05-22T17:02:08.315,-0.13
2025-05-22T17:02:08.319,-0.12
2025-05-22T17:02:08.323,-0.12
2025-05-22T17:02:08.327,-0.12
2025-05-22T17:02:08.330,-0.11
2025-05-22T17:02:08.334,-0.06
2025-05-22T17:02:08.338,0.06
2025-05-22T17:02:08.342,0.24
2025-05-22T17:02:08.345,0.48
2025-05-22T17:02:08.349,0.79
2025-05-22T17:02:08.353,1.14
2025-05-22T17:02:08.357,1.54
2025-05-22T17:02:08.360,1.89
2025-05-22T17:02:08.364,2.09
2025-05-22T17:02:08.368,2.03
2025-05-22T17:02:08.372,1.68
2025-05-22T17:02:08.375,1.14
2025-05-22T17:02:08.379,0.57
2025-05-22T17:02:08.383,0.07
2025-05-22T17:02:08.387,-0.3
2025-05-22T17:02:08.390,-0.54
2025-05-22T17:02:08.394,-0.66
2025-05-22T17:02:08.398,-0.69
2025-05-22T17:02:08.402,-0.65
2025-05-22T17:02:08.405,-0.56
2025-05-22T17:02:08.409,-0.46
2025-05-22T17:02:08.413,-0.36
2025-05-22T17:02:08.417,-0.28
2025-05-22T17:02:08.420,-0.21
2025-05-22T17:02:08.424,-0.16
2025-05-22T17:02:08.428,-0.12
2025-05-22T17:02:08.432,-0.09
2025-05-22T17:02:08.435,-0.07
2025-05-22T17:02:08.439,-0.05
2025-05-22T17:02:08.443,-0.03
2025-05-22T17:02:08.447,-0.02
2025-05-22T17:02:08.450,-0.01
2025-05-22T17:02:08.454,0.0
2025-05-22T17:02:08.458,0.01
2025-05-22T17:02:08.462,0.02
2025-05-22T17:02:08.465,0.03
2025-05-22T17:02:08.469,0.04
2025-05-22T17:02:08.473,0.06
2025-05-22T17:02:08.477,0.07
2025-05-22T17:02:08.480,0.08
2025-05-22T17:02:08.484,0.09
2025-05-22T17:02:08.488,0.09
2025-05-22T17:02:08.492,0.1
2025-05-22T17:02:08.495,0.12
2025-05-22T17:02:08.499,0.13
2025-05-22T17:02:08.503,0.14
2025-05-22T17:02:08.507,0.15
2025-05-22T17:02:08.510,0.16
2025-05-22T17:02:08.514,0.18
2025-05-22T17:02:08.518,0.19
2025-05-22T17:02:08.522,0.2
2025-05-22T17:02:08.525,0.22
2025-05-22T17:02:08.529,0.23
2025-05-22T17:02:08.533,0.25
2025-05-22T17:02:08.537,0.26
2025-05-22T17:02:08.540,0.28
2025-05-22T17:02:08.544,0.3
2025-05-22T17:02:08.548,0.33
2025-05-22T17:02:08.552,0.35
2025-05-22T17:02:08.555,0.38
2025-05-22T17:02:08.559,0.41
2025-05-22T17:02:08.563,0.44
2025-05-22T17:02:08.567,0.46
2025-05-22T17:02:08.570,0.49
2025-05-22T17:02:08.574,0.52
2025-05-22T17:02:08.578,0.55
2025-05-22T17:02:08.582,0.58
2025-05-22T17:02:08.585,0.61
2025-05-22T17:02:08.589,0.64
2025-05-22T17:02:08.593,0.68
2025-05-22T17:02:08.597,0.72
2025-05-22T17:02:08.600,0.75
2025-05-22T17:02:08.604,0.79
2025-05-22T17:02:08.608,0.82
2025-05-22T17:02:08.612,0.85
2025-05-22T17:02:08.615,0.86
2025-05-22T17:02:08.619,0.87
2025-05-22T17:02:08.623,0.87
2025-05-22T17:02:08.627,0.86
2025-05-22T17:02:08.630,0.85
2025-05-22T17:02:08.634,0.84
2025-05-22T17:02:08.638,0.81
2025-05-22T17:02:08.642,0.78
2025-05-22T17:02:08.645,0.74
2025-05-22T17:02:08.649,0.7
2025-05-22T17:02:08.653,0.64
2025-05-22T17:02:08.657,0.58
2025-05-22T17:02:08.660,0.51
2025-05-22T17:02:08.664,0.43
2025-05-22T17:02:08.668,0.35
2025-05-22T17:02:08.672,0.27
2025-05-22T17:02:08.675,0.2
2025-05-22T17:02:08.679,0.13
2025-05-22T17:02:08.683,0.05
2025-05-22T17:02:08.687,-0.01
2025-05-22T17:02:08.690,-0.07
2025-05-22T17:02:08.694,-0.13
2025-05-22T17:02:08.698,-0.18
2025-05-22T17:02:08.702,-0.23
2025-05-22T17:02:08.705,-0.28
2025-05-22T17:02:08.709,-0.32
2025-05-22T17:02:08.713,-0.35
2025-05-22T17:02:08.717,-0.38
2025-05-22T17:02:08.720,-0.39
2025-05-22T17:02:08.724,-0.41
2025-05-22T17:02:08.728,-0.41
2025-05-22T17:02:08.732,-0.42
2025-05-22T17:02:08.735,-0.42
2025-05-22T17:02:08.739,-0.43
2025-05-22T17:02:08.743,-0.43
2025-05-22T17:02:08.747,-0.42
2025-05-22T17:02:08.750,-0.42
2025-05-22T17:02:08.754,-0.41
2025-05-22T17:02:08.758,-0.39
2025-05-22T17:02:08.762,-0.38
2025-05-22T17:02:08.765,-0.37
2025-05-22T17:02:08.769,-0.36
2025-05-22T17:02:08.773,-0.34
2025-05-22T17:02:08.777,-0.33
2025-05-22T17:02:08.780,-0.32
2025-05-22T17:02:08.784,-0.31
2025-05-22T17:02:08.788,-0.3
2025-05-22T17:02:08.792,-0.29
2025-05-22T17:02:08.795,-0.27
2025-05-22T17:02:08.799,-0.26
2025-05-22T17:02:08.803,-0.26
2025-05-22T17:02:08.807,-0.25
2025-05-22T17:02:08.810,-0.25
2025-05-22T17:02:08.814,-0.25
2025-05-22T17:02:08.818,-0.24
2025-05-22T17:02:08.822,-0.24
2025-05-22T17:02:08.825,-0.23
2025-05-22T17:02:08.829,-0.22
2025-05-22T17:02:08.833,-0.22
2025-05-22T17:02:08.837,-0.22
2025-05-22T17:02:08.840,-0.23
2025-05-22T17:02:08.844,-0.23
2025-05-22T17:02:08.848,-0.23
2025-05-22T17:02:08.852,-0.23
2025-05-22T17:02:08.855,-0.23
2025-05-22T17:02:08.859,-0.23
2025-05-22T17:02:08.863,-0.23
2025-05-22T17:02:08.867,-0.23
2025-05-22T17:02:08.870,-0.24
2025-05-22T17:02:08.874,-0.24
2025-05-22T17:02:08.878,-0.25
2025-05-22T17:02:08.882,-0.25
2025-05-22T17:02:08.885,-0.26
2025-05-22T17:02:08.889,-0.26
2025-05-22T17:02:08.893,-0.26
2025-05-22T17:02:08.897,-0.25
2025-05-22T17:02:08.900,-0.25
2025-05-22T17:02:08.904,-0.25
2025-05-22T17:02:08.908,-0.24
2025-05-22T17:02:08.912,-0.24
2025-05-22T17:02:08.915,-0.24
2025-05-22T17:02:08.919,-0.23
2025-05-22T17:02:08.923,-0.23
2025-05-22T17:02:08.927,-0.23
2025-05-22T17:02:08.930,-0.23
2025-05-22T17:02:08.934,-0.23
2025-05-22T17:02:08.938,-0.23
2025-05-22T17:02:08.942,-0.23
2025-05-22T17:02:08.945,-0.23
2025-05-22T17:02:08.949,-0.23
2025-05-22T17:02:08.953,-0.22
2025-05-22T17:02:08.957,-0.22
2025-05-22T17:02:08.960,-0.21
2025-05-22T17:02:08.964,-0.21
2025-05-22T17:02:08.968,-0.2
2025-05-22T17:02:08.972,-0.2
2025-05-22T17:02:08.975,-0.19
2025-05-22T17:02:08.979,-0.19
2025-05-22T17:02:08.983,-0.2
2025-05-22T17:02:08.987,-0.2
2025-05-22T17:02:08.990,-0.2
2025-05-22T17:02:08.994,-0.2
2025-05-22T17:02:08.998,-0.2
2025-05-22T17:02:09.002,-0.2
2025-05-22T17:02:09.005,-0.2
2025-05-22T17:02:09.009,-0.19
2025-05-22T17:02:09.013,-0.19
2025-05-22T17:02:09.017,-0.19
2025-05-22T17:02:09.020,-0.18
2025-05-22T17:02:09.024,-0.18
2025-05-22T17:02:09.028,-0.17
2025-05-22T17:02:09.032,-0.15
2025-05-22T17:02:09.035,-0.14
2025-05-22T17:02:09.039,-0.12
2025-05-22T17:02:09.043,-0.09
2025-05-22T17:02:09.047,-0.06
2025-05-22T17:02:09.050,-0.03
2025-05-22T17:02:09.054,0.01
2025-05-22T17:02:09.058,0.05
2025-05-22T17:02:09.062,0.08
2025-05-22T17:02:09.065,0.11
2025-05-22T17:02:09.069,0.13
2025-05-22T17:02:09.073,0.15
2025-05-22T17:02:09.077,0.15
2025-05-22T17:02:09.080,0.13
2025-05-22T17:02:09.084,0.11
2025-05-22T17:02:09.088,0.08
2025-05-22T17:02:09.092,0.04
2025-05-22T17:02:09.095,0.01
2025-05-22T17:02:09.099,-0.02
2025-05-22T17:02:09.103,-0.06
2025-05-22T17:02:09.107,-0.09
2025-05-22T17:02:09.110,-0.12
2025-05-22T17:02:09.114,-0.14
2025-05-22T17:02:09.118,-0.16
2025-05-22T17:02:09.122,-0.17
2025-05-22T17:02:09.125,-0.18
2025-05-22T17:02:09.129,-0.18
2025-05-22T17:02:09.133,-0.18
