Time,ECG1_Filtered,is_r_peak,timestamp,prev_timestamp,rr_interval_ms
2025-05-22T17:02:08.364,2.09,true,2025-05-22T17:02:08.364+07:00,2025-05-22T17:02:07.422+07:00,942.0
2025-05-22T17:02:09.208,2.19,true,2025-05-22T17:02:09.208+07:00,2025-05-22T17:02:08.364+07:00,844.0
2025-05-22T17:02:10.176,2.09,true,2025-05-22T17:02:10.176+07:00,2025-05-22T17:02:09.208+07:00,968.0
2025-05-22T17:02:11.008,2.08,true,2025-05-22T17:02:11.008+07:00,2025-05-22T17:02:10.176+07:00,832.0
2025-05-22T17:02:12.140,2.02,true,2025-05-22T17:02:12.140+07:00,2025-05-22T17:02:11.008+07:00,1132.0
2025-05-22T17:02:12.867,2.02,true,2025-05-22T17:02:12.867+07:00,2025-05-22T17:02:12.140+07:00,727.0
2025-05-22T17:02:13.760,2.15,true,2025-05-22T17:02:13.760+07:00,2025-05-22T17:02:12.867+07:00,893.0
2025-05-22T17:02:14.735,2.06,true,2025-05-22T17:02:14.735+07:00,2025-05-22T17:02:13.760+07:00,975.0
2025-05-22T17:02:15.601,2.12,true,2025-05-22T17:02:15.601+07:00,2025-05-22T17:02:14.735+07:00,866.0
2025-05-22T17:02:15.902,1.89,true,2025-05-22T17:02:15.902+07:00,2025-05-22T17:02:15.601+07:00,301.0
2025-05-22T17:02:16.911,2.23,true,2025-05-22T17:02:16.911+07:00,2025-05-22T17:02:15.902+07:00,1009.0
2025-05-22T17:02:17.935,2.08,true,2025-05-22T17:02:17.935+07:00,2025-05-22T17:02:16.911+07:00,1024.0
2025-05-22T17:02:18.794,2.19,true,2025-05-22T17:02:18.794+07:00,2025-05-22T17:02:17.935+07:00,859.0
2025-05-22T17:02:19.761,2.06,true,2025-05-22T17:02:19.761+07:00,2025-05-22T17:02:18.794+07:00,967.0
2025-05-22T17:02:20.020,1.94,true,2025-05-22T17:02:20.020+07:00,2025-05-22T17:02:19.761+07:00,259.0
2025-05-22T17:02:20.901,2.08,true,2025-05-22T17:02:20.901+07:00,2025-05-22T17:02:20.020+07:00,881.0
2025-05-22T17:02:21.831,2.13,true,2025-05-22T17:02:21.831+07:00,2025-05-22T17:02:20.901+07:00,930.0
2025-05-22T17:02:22.689,1.99,true,2025-05-22T17:02:22.689+07:00,2025-05-22T17:02:21.831+07:00,858.0
2025-05-22T17:02:23.604,2.16,true,2025-05-22T17:02:23.604+07:00,2025-05-22T17:02:22.689+07:00,915.0
2025-05-22T17:02:24.729,2.2,true,2025-05-22T17:02:24.729+07:00,2025-05-22T17:02:23.604+07:00,1125.0
2025-05-22T17:02:25.625,2.09,true,2025-05-22T17:02:25.625+07:00,2025-05-22T17:02:24.729+07:00,896.0
2025-05-22T17:02:26.435,1.91,true,2025-05-22T17:02:26.435+07:00,2025-05-22T17:02:25.625+07:00,810.0
2025-05-22T17:02:27.226,2.1,true,2025-05-22T17:02:27.226+07:00,2025-05-22T17:02:26.435+07:00,791.0
2025-05-22T17:02:27.958,2.05,true,2025-05-22T17:02:27.958+07:00,2025-05-22T17:02:27.226+07:00,732.0
2025-05-22T17:02:29.079,1.75,true,2025-05-22T17:02:29.079+07:00,2025-05-22T17:02:27.958+07:00,1121.0
2025-05-22T17:02:30.054,2.04,true,2025-05-22T17:02:30.054+07:00,2025-05-22T17:02:29.079+07:00,975.0
2025-05-22T17:02:30.980,2.05,true,2025-05-22T17:02:30.980+07:00,2025-05-22T17:02:30.054+07:00,926.0
2025-05-22T17:02:31.929,2.14,true,2025-05-22T17:02:31.929+07:00,2025-05-22T17:02:30.980+07:00,949.0
2025-05-22T17:02:32.802,2.1,true,2025-05-22T17:02:32.802+07:00,2025-05-22T17:02:31.929+07:00,873.0
2025-05-22T17:02:33.908,2.19,true,2025-05-22T17:02:33.908+07:00,2025-05-22T17:02:32.802+07:00,1106.0
2025-05-22T17:02:35.015,2.17,true,2025-05-22T17:02:35.015+07:00,2025-05-22T17:02:33.908+07:00,1107.0
2025-05-22T17:02:36.042,2.25,true,2025-05-22T17:02:36.042+07:00,2025-05-22T17:02:35.015+07:00,1027.0
2025-05-22T17:02:37.047,2.24,true,2025-05-22T17:02:37.047+07:00,2025-05-22T17:02:36.042+07:00,1005.0
2025-05-22T17:02:38.071,2.02,true,2025-05-22T17:02:38.071+07:00,2025-05-22T17:02:37.047+07:00,1024.0
2025-05-22T17:02:38.180,1.75,true,2025-05-22T17:02:38.180+07:00,2025-05-22T17:02:38.071+07:00,109.0
2025-05-22T17:02:39.024,2.22,true,2025-05-22T17:02:39.024+07:00,2025-05-22T17:02:38.180+07:00,844.0
2025-05-22T17:02:39.853,1.92,true,2025-05-22T17:02:39.853+07:00,2025-05-22T17:02:39.024+07:00,829.0
2025-05-22T17:02:40.637,2.13,true,2025-05-22T17:02:40.637+07:00,2025-05-22T17:02:39.853+07:00,784.0
2025-05-22T17:02:41.522,1.97,true,2025-05-22T17:02:41.522+07:00,2025-05-22T17:02:40.637+07:00,885.0
2025-05-22T17:02:42.522,2.28,true,2025-05-22T17:02:42.522+07:00,2025-05-22T17:02:41.522+07:00,1000.0
2025-05-22T17:02:43.265,2.14,true,2025-05-22T17:02:43.265+07:00,2025-05-22T17:02:42.522+07:00,743.0
2025-05-22T17:02:43.981,1.97,true,2025-05-22T17:02:43.981+07:00,2025-05-22T17:02:43.265+07:00,716.0
2025-05-22T17:02:44.746,2.25,true,2025-05-22T17:02:44.746+07:00,2025-05-22T17:02:43.981+07:00,765.0
2025-05-22T17:02:45.740,2.22,true,2025-05-22T17:02:45.740+07:00,2025-05-22T17:02:44.746+07:00,994.0
2025-05-22T17:02:46.670,2.12,true,2025-05-22T17:02:46.670+07:00,2025-05-22T17:02:45.740+07:00,930.0
2025-05-22T17:02:47.903,2.26,true,2025-05-22T17:02:47.903+07:00,2025-05-22T17:02:46.670+07:00,1233.0
2025-05-22T17:02:48.856,2.07,true,2025-05-22T17:02:48.856+07:00,2025-05-22T17:02:47.903+07:00,953.0
2025-05-22T17:02:49.569,1.93,true,2025-05-22T17:02:49.569+07:00,2025-05-22T17:02:48.856+07:00,713.0
2025-05-22T17:02:51.009,2.14,true,2025-05-22T17:02:51.009+07:00,2025-05-22T17:02:49.569+07:00,1440.0
2025-05-22T17:02:53.191,2.17,true,2025-05-22T17:02:53.191+07:00,2025-05-22T17:02:51.009+07:00,2182.0
2025-05-22T17:02:54.267,2.01,true,2025-05-22T17:02:54.267+07:00,2025-05-22T17:02:53.191+07:00,1076.0
2025-05-22T17:02:55.238,2.36,true,2025-05-22T17:02:55.238+07:00,2025-05-22T17:02:54.267+07:00,971.0
2025-05-22T17:02:56.544,2.6,true,2025-05-22T17:02:56.544+07:00,2025-05-22T17:02:55.238+07:00,1306.0
2025-05-22T17:02:57.343,1.84,true,2025-05-22T17:02:57.343+07:00,2025-05-22T17:02:56.544+07:00,799.0
2025-05-22T17:02:58.134,2.23,true,2025-05-22T17:02:58.134+07:00,2025-05-22T17:02:57.343+07:00,791.0
2025-05-22T17:02:58.823,2.09,true,2025-05-22T17:02:58.823+07:00,2025-05-22T17:02:58.134+07:00,689.0
2025-05-22T17:02:59.524,2.09,true,2025-05-22T17:02:59.524+07:00,2025-05-22T17:02:58.823+07:00,701.0
2025-05-22T17:03:00.496,2.14,true,2025-05-22T17:03:00.496+07:00,2025-05-22T17:02:59.524+07:00,972.0
2025-05-22T17:03:01.385,2.26,true,2025-05-22T17:03:01.385+07:00,2025-05-22T17:03:00.496+07:00,889.0
2025-05-22T17:03:02.097,2.02,true,2025-05-22T17:03:02.097+07:00,2025-05-22T17:03:01.385+07:00,712.0
2025-05-22T17:03:02.794,2.11,true,2025-05-22T17:03:02.794+07:00,2025-05-22T17:03:02.097+07:00,697.0
2025-05-22T17:03:03.484,1.97,true,2025-05-22T17:03:03.484+07:00,2025-05-22T17:03:02.794+07:00,690.0
2025-05-22T17:03:04.193,2.12,true,2025-05-22T17:03:04.193+07:00,2025-05-22T17:03:03.484+07:00,709.0
2025-05-22T17:03:05.418,2.37,true,2025-05-22T17:03:05.418+07:00,2025-05-22T17:03:04.193+07:00,1225.0
2025-05-22T17:03:06.299,2.0,true,2025-05-22T17:03:06.299+07:00,2025-05-22T17:03:05.418+07:00,881.0
2025-05-22T17:03:07.244,2.32,true,2025-05-22T17:03:07.244+07:00,2025-05-22T17:03:06.299+07:00,945.0
2025-05-22T17:03:08.200,1.99,true,2025-05-22T17:03:08.200+07:00,2025-05-22T17:03:07.244+07:00,956.0
2025-05-22T17:03:09.448,2.55,true,2025-05-22T17:03:09.448+07:00,2025-05-22T17:03:08.200+07:00,1248.0
2025-05-22T17:03:10.408,2.16,true,2025-05-22T17:03:10.408+07:00,2025-05-22T17:03:09.448+07:00,960.0
2025-05-22T17:03:11.230,1.88,true,2025-05-22T17:03:11.230+07:00,2025-05-22T17:03:10.408+07:00,822.0
2025-05-22T17:03:12.088,2.21,true,2025-05-22T17:03:12.088+07:00,2025-05-22T17:03:11.230+07:00,858.0
2025-05-22T17:03:13.033,2.13,true,2025-05-22T17:03:13.033+07:00,2025-05-22T17:03:12.088+07:00,945.0
2025-05-22T17:03:14.286,2.23,true,2025-05-22T17:03:14.286+07:00,2025-05-22T17:03:13.033+07:00,1253.0
2025-05-22T17:03:15.250,2.29,true,2025-05-22T17:03:15.250+07:00,2025-05-22T17:03:14.286+07:00,964.0
2025-05-22T17:03:16.211,2.13,true,2025-05-22T17:03:16.211+07:00,2025-05-22T17:03:15.250+07:00,961.0
2025-05-22T17:03:17.141,2.28,true,2025-05-22T17:03:17.141+07:00,2025-05-22T17:03:16.211+07:00,930.0
2025-05-22T17:03:18.285,2.27,true,2025-05-22T17:03:18.285+07:00,2025-05-22T17:03:17.141+07:00,1144.0
2025-05-22T17:03:19.286,2.11,true,2025-05-22T17:03:19.286+07:00,2025-05-22T17:03:18.285+07:00,1001.0
2025-05-22T17:03:20.178,2.08,true,2025-05-22T17:03:20.178+07:00,2025-05-22T17:03:19.286+07:00,892.0
2025-05-22T17:03:20.947,2.43,true,2025-05-22T17:03:20.947+07:00,2025-05-22T17:03:20.178+07:00,769.0
2025-05-22T17:03:21.974,2.35,true,2025-05-22T17:03:21.974+07:00,2025-05-22T17:03:20.947+07:00,1027.0
2025-05-22T17:03:22.978,1.95,true,2025-05-22T17:03:22.978+07:00,2025-05-22T17:03:21.974+07:00,1004.0
2025-05-22T17:03:23.840,2.1,true,2025-05-22T17:03:23.840+07:00,2025-05-22T17:03:22.978+07:00,862.0
2025-05-22T17:03:25.381,2.11,true,2025-05-22T17:03:25.381+07:00,2025-05-22T17:03:23.840+07:00,1541.0
2025-05-22T17:03:26.525,2.29,true,2025-05-22T17:03:26.525+07:00,2025-05-22T17:03:25.381+07:00,1144.0
2025-05-22T17:03:27.635,1.98,true,2025-05-22T17:03:27.635+07:00,2025-05-22T17:03:26.525+07:00,1110.0
2025-05-22T17:03:28.577,2.2,true,2025-05-22T17:03:28.577+07:00,2025-05-22T17:03:27.635+07:00,942.0
2025-05-22T17:03:29.540,2.21,true,2025-05-22T17:03:29.540+07:00,2025-05-22T17:03:28.577+07:00,963.0
2025-05-22T17:03:30.598,2.04,true,2025-05-22T17:03:30.598+07:00,2025-05-22T17:03:29.540+07:00,1058.0
2025-05-22T17:03:31.398,2.37,true,2025-05-22T17:03:31.398+07:00,2025-05-22T17:03:30.598+07:00,800.0
2025-05-22T17:03:32.377,2.19,true,2025-05-22T17:03:32.377+07:00,2025-05-22T17:03:31.398+07:00,979.0
2025-05-22T17:03:33.310,2.3,true,2025-05-22T17:03:33.310+07:00,2025-05-22T17:03:32.377+07:00,933.0
2025-05-22T17:03:34.187,1.6,true,2025-05-22T17:03:34.187+07:00,2025-05-22T17:03:33.310+07:00,877.0
2025-05-22T17:03:36.188,1.85,true,2025-05-22T17:03:36.188+07:00,2025-05-22T17:03:34.187+07:00,2001.0
2025-05-22T17:03:37.035,2.17,true,2025-05-22T17:03:37.035+07:00,2025-05-22T17:03:36.188+07:00,847.0
2025-05-22T17:03:38.802,2.08,true,2025-05-22T17:03:38.802+07:00,2025-05-22T17:03:37.035+07:00,1767.0
2025-05-22T17:03:40.114,2.17,true,2025-05-22T17:03:40.114+07:00,2025-05-22T17:03:38.802+07:00,1312.0
2025-05-22T17:03:41.078,2.18,true,2025-05-22T17:03:41.078+07:00,2025-05-22T17:03:40.114+07:00,964.0
2025-05-22T17:03:42.053,2.34,true,2025-05-22T17:03:42.053+07:00,2025-05-22T17:03:41.078+07:00,975.0
2025-05-22T17:03:43.046,2.13,true,2025-05-22T17:03:43.046+07:00,2025-05-22T17:03:42.053+07:00,993.0
2025-05-22T17:03:44.715,2.15,true,2025-05-22T17:03:44.715+07:00,2025-05-22T17:03:43.046+07:00,1669.0
2025-05-22T17:03:45.693,2.23,true,2025-05-22T17:03:45.693+07:00,2025-05-22T17:03:44.715+07:00,978.0
2025-05-22T17:03:46.485,1.86,true,2025-05-22T17:03:46.485+07:00,2025-05-22T17:03:45.693+07:00,792.0
2025-05-22T17:03:47.299,2.02,true,2025-05-22T17:03:47.299+07:00,2025-05-22T17:03:46.485+07:00,814.0
2025-05-22T17:03:49.354,2.12,true,2025-05-22T17:03:49.354+07:00,2025-05-22T17:03:47.299+07:00,2055.0
2025-05-22T17:03:50.294,2.19,true,2025-05-22T17:03:50.294+07:00,2025-05-22T17:03:49.354+07:00,940.0
2025-05-22T17:03:51.248,1.98,true,2025-05-22T17:03:51.248+07:00,2025-05-22T17:03:50.294+07:00,954.0
2025-05-22T17:03:52.073,2.05,true,2025-05-22T17:03:52.073+07:00,2025-05-22T17:03:51.248+07:00,825.0
2025-05-22T17:03:53.032,1.98,true,2025-05-22T17:03:53.032+07:00,2025-05-22T17:03:52.073+07:00,959.0
2025-05-22T17:03:53.970,2.31,true,2025-05-22T17:03:53.970+07:00,2025-05-22T17:03:53.032+07:00,938.0
2025-05-22T17:03:54.941,2.25,true,2025-05-22T17:03:54.941+07:00,2025-05-22T17:03:53.970+07:00,971.0
2025-05-22T17:03:55.912,2.33,true,2025-05-22T17:03:55.912+07:00,2025-05-22T17:03:54.941+07:00,971.0
2025-05-22T17:03:56.860,2.14,true,2025-05-22T17:03:56.860+07:00,2025-05-22T17:03:55.912+07:00,948.0
2025-05-22T17:03:57.108,2.1,true,2025-05-22T17:03:57.108+07:00,2025-05-22T17:03:56.860+07:00,248.0
2025-05-22T17:03:57.959,1.92,true,2025-05-22T17:03:57.959+07:00,2025-05-22T17:03:57.108+07:00,851.0
2025-05-22T17:03:58.787,1.97,true,2025-05-22T17:03:58.787+07:00,2025-05-22T17:03:57.959+07:00,828.0
2025-05-22T17:03:59.561,2.08,true,2025-05-22T17:03:59.561+07:00,2025-05-22T17:03:58.787+07:00,774.0
