Time,ECG1_Filtered,is_r_peak,timestamp,prev_timestamp,rr_interval_ms
2025-05-22T17:04:00.325,2.22,true,2025-05-22T17:04:00.325+07:00,2025-05-22T17:03:59.561+07:00,764.0
2025-05-22T17:04:01.286,2.24,true,2025-05-22T17:04:01.286+07:00,2025-05-22T17:04:00.325+07:00,961.0
2025-05-22T17:04:02.131,2.03,true,2025-05-22T17:04:02.131+07:00,2025-05-22T17:04:01.286+07:00,845.0
2025-05-22T17:04:02.877,2.09,true,2025-05-22T17:04:02.877+07:00,2025-05-22T17:04:02.131+07:00,746.0
2025-05-22T17:04:03.492,2.04,true,2025-05-22T17:04:03.492+07:00,2025-05-22T17:04:02.877+07:00,615.0
2025-05-22T17:04:04.190,2.11,true,2025-05-22T17:04:04.190+07:00,2025-05-22T17:04:03.492+07:00,698.0
2025-05-22T17:04:04.970,2.0,true,2025-05-22T17:04:04.970+07:00,2025-05-22T17:04:04.190+07:00,780.0
2025-05-22T17:04:05.716,2.16,true,2025-05-22T17:04:05.716+07:00,2025-05-22T17:04:04.970+07:00,746.0
2025-05-22T17:04:06.838,1.93,true,2025-05-22T17:04:06.838+07:00,2025-05-22T17:04:05.716+07:00,1122.0
2025-05-22T17:04:07.685,2.05,true,2025-05-22T17:04:07.685+07:00,2025-05-22T17:04:06.838+07:00,847.0
2025-05-22T17:04:08.608,2.16,true,2025-05-22T17:04:08.608+07:00,2025-05-22T17:04:07.685+07:00,923.0
2025-05-22T17:04:09.407,1.88,true,2025-05-22T17:04:09.407+07:00,2025-05-22T17:04:08.608+07:00,799.0
2025-05-22T17:04:10.225,2.18,true,2025-05-22T17:04:10.225+07:00,2025-05-22T17:04:09.407+07:00,818.0
2025-05-22T17:04:11.407,2.23,true,2025-05-22T17:04:11.407+07:00,2025-05-22T17:04:10.225+07:00,1182.0
2025-05-22T17:04:12.371,1.83,true,2025-05-22T17:04:12.371+07:00,2025-05-22T17:04:11.407+07:00,964.0
2025-05-22T17:04:14.212,2.01,true,2025-05-22T17:04:14.212+07:00,2025-05-22T17:04:12.371+07:00,1841.0
2025-05-22T17:04:15.093,2.21,true,2025-05-22T17:04:15.093+07:00,2025-05-22T17:04:14.212+07:00,881.0
2025-05-22T17:04:15.393,2.21,true,2025-05-22T17:04:15.393+07:00,2025-05-22T17:04:15.093+07:00,300.0
2025-05-22T17:04:16.000,2.09,true,2025-05-22T17:04:16.000+07:00,2025-05-22T17:04:15.393+07:00,607.0
2025-05-22T17:04:16.952,1.99,true,2025-05-22T17:04:16.952+07:00,2025-05-22T17:04:16.000+07:00,952.0
2025-05-22T17:04:18.148,2.21,true,2025-05-22T17:04:18.148+07:00,2025-05-22T17:04:16.952+07:00,1196.0
2025-05-22T17:04:19.018,2.17,true,2025-05-22T17:04:19.018+07:00,2025-05-22T17:04:18.148+07:00,870.0
2025-05-22T17:04:19.951,2.18,true,2025-05-22T17:04:19.951+07:00,2025-05-22T17:04:19.018+07:00,933.0
2025-05-22T17:04:20.825,2.14,true,2025-05-22T17:04:20.825+07:00,2025-05-22T17:04:19.951+07:00,874.0
2025-05-22T17:04:21.792,2.06,true,2025-05-22T17:04:21.792+07:00,2025-05-22T17:04:20.825+07:00,967.0
2025-05-22T17:04:23.090,2.19,true,2025-05-22T17:04:23.090+07:00,2025-05-22T17:04:21.792+07:00,1298.0
2025-05-22T17:04:24.020,2.27,true,2025-05-22T17:04:24.020+07:00,2025-05-22T17:04:23.090+07:00,930.0
2025-05-22T17:04:24.957,2.05,true,2025-05-22T17:04:24.957+07:00,2025-05-22T17:04:24.020+07:00,937.0
2025-05-22T17:04:25.831,2.17,true,2025-05-22T17:04:25.831+07:00,2025-05-22T17:04:24.957+07:00,874.0
2025-05-22T17:04:26.720,2.22,true,2025-05-22T17:04:26.720+07:00,2025-05-22T17:04:25.831+07:00,889.0
2025-05-22T17:04:26.956,2.15,true,2025-05-22T17:04:26.956+07:00,2025-05-22T17:04:26.720+07:00,236.0
2025-05-22T17:04:27.789,1.84,true,2025-05-22T17:04:27.789+07:00,2025-05-22T17:04:26.956+07:00,833.0
2025-05-22T17:04:28.572,2.25,true,2025-05-22T17:04:28.572+07:00,2025-05-22T17:04:27.789+07:00,783.0
2025-05-22T17:04:29.408,1.89,true,2025-05-22T17:04:29.408+07:00,2025-05-22T17:04:28.572+07:00,836.0
2025-05-22T17:04:30.166,2.15,true,2025-05-22T17:04:30.166+07:00,2025-05-22T17:04:29.408+07:00,758.0
2025-05-22T17:04:30.946,2.23,true,2025-05-22T17:04:30.946+07:00,2025-05-22T17:04:30.166+07:00,780.0
2025-05-22T17:04:31.553,2.06,true,2025-05-22T17:04:31.553+07:00,2025-05-22T17:04:30.946+07:00,607.0
2025-05-22T17:04:32.348,2.34,true,2025-05-22T17:04:32.348+07:00,2025-05-22T17:04:31.553+07:00,795.0
2025-05-22T17:04:33.151,2.37,true,2025-05-22T17:04:33.151+07:00,2025-05-22T17:04:32.348+07:00,803.0
2025-05-22T17:04:33.897,2.06,true,2025-05-22T17:04:33.897+07:00,2025-05-22T17:04:33.151+07:00,746.0
2025-05-22T17:04:34.624,2.07,true,2025-05-22T17:04:34.624+07:00,2025-05-22T17:04:33.897+07:00,727.0
2025-05-22T17:04:35.348,2.1,true,2025-05-22T17:04:35.348+07:00,2025-05-22T17:04:34.624+07:00,724.0
2025-05-22T17:04:36.087,1.81,true,2025-05-22T17:04:36.087+07:00,2025-05-22T17:04:35.348+07:00,739.0
2025-05-22T17:04:36.222,2.43,true,2025-05-22T17:04:36.222+07:00,2025-05-22T17:04:36.087+07:00,135.0
2025-05-22T17:04:37.062,2.09,true,2025-05-22T17:04:37.062+07:00,2025-05-22T17:04:36.222+07:00,840.0
2025-05-22T17:04:37.905,2.08,true,2025-05-22T17:04:37.905+07:00,2025-05-22T17:04:37.062+07:00,843.0
2025-05-22T17:04:38.802,1.79,true,2025-05-22T17:04:38.802+07:00,2025-05-22T17:04:37.905+07:00,897.0
2025-05-22T17:04:39.623,1.97,true,2025-05-22T17:04:39.623+07:00,2025-05-22T17:04:38.802+07:00,821.0
2025-05-22T17:04:40.489,2.1,true,2025-05-22T17:04:40.489+07:00,2025-05-22T17:04:39.623+07:00,866.0
2025-05-22T17:04:41.869,2.01,true,2025-05-22T17:04:41.869+07:00,2025-05-22T17:04:40.489+07:00,1380.0
2025-05-22T17:04:42.750,2.21,true,2025-05-22T17:04:42.750+07:00,2025-05-22T17:04:41.869+07:00,881.0
2025-05-22T17:04:43.718,2.04,true,2025-05-22T17:04:43.718+07:00,2025-05-22T17:04:42.750+07:00,968.0
2025-05-22T17:04:44.614,2.19,true,2025-05-22T17:04:44.614+07:00,2025-05-22T17:04:43.718+07:00,896.0
2025-05-22T17:04:45.832,2.12,true,2025-05-22T17:04:45.832+07:00,2025-05-22T17:04:44.614+07:00,1218.0
2025-05-22T17:04:46.766,2.06,true,2025-05-22T17:04:46.766+07:00,2025-05-22T17:04:45.832+07:00,934.0
2025-05-22T17:04:47.647,1.98,true,2025-05-22T17:04:47.647+07:00,2025-05-22T17:04:46.766+07:00,881.0
2025-05-22T17:04:48.502,2.22,true,2025-05-22T17:04:48.502+07:00,2025-05-22T17:04:47.647+07:00,855.0
2025-05-22T17:04:49.409,2.33,true,2025-05-22T17:04:49.409+07:00,2025-05-22T17:04:48.502+07:00,907.0
2025-05-22T17:04:50.472,2.08,true,2025-05-22T17:04:50.472+07:00,2025-05-22T17:04:49.409+07:00,1063.0
2025-05-22T17:04:50.495,2.5,true,2025-05-22T17:04:50.495+07:00,2025-05-22T17:04:50.472+07:00,23.0
2025-05-22T17:04:50.532,1.83,true,2025-05-22T17:04:50.532+07:00,2025-05-22T17:04:50.495+07:00,37.0
2025-05-22T17:04:51.267,2.13,true,2025-05-22T17:04:51.267+07:00,2025-05-22T17:04:50.532+07:00,735.0
2025-05-22T17:04:52.515,2.16,true,2025-05-22T17:04:52.515+07:00,2025-05-22T17:04:51.267+07:00,1248.0
2025-05-22T17:04:53.576,2.17,true,2025-05-22T17:04:53.576+07:00,2025-05-22T17:04:52.515+07:00,1061.0
2025-05-22T17:04:54.574,2.14,true,2025-05-22T17:04:54.574+07:00,2025-05-22T17:04:53.576+07:00,998.0
2025-05-22T17:04:55.635,2.29,true,2025-05-22T17:04:55.635+07:00,2025-05-22T17:04:54.574+07:00,1061.0
2025-05-22T17:04:56.550,2.18,true,2025-05-22T17:04:56.550+07:00,2025-05-22T17:04:55.635+07:00,915.0
2025-05-22T17:04:57.888,2.2,true,2025-05-22T17:04:57.888+07:00,2025-05-22T17:04:56.550+07:00,1338.0
2025-05-22T17:04:58.863,2.34,true,2025-05-22T17:04:58.863+07:00,2025-05-22T17:04:57.888+07:00,975.0
2025-05-22T17:04:59.906,2.32,true,2025-05-22T17:04:59.906+07:00,2025-05-22T17:04:58.863+07:00,1043.0
2025-05-22T17:05:00.911,2.18,true,2025-05-22T17:05:00.911+07:00,2025-05-22T17:04:59.906+07:00,1005.0
2025-05-22T17:05:02.125,2.36,true,2025-05-22T17:05:02.125+07:00,2025-05-22T17:05:00.911+07:00,1214.0
2025-05-22T17:05:03.123,1.99,true,2025-05-22T17:05:03.123+07:00,2025-05-22T17:05:02.125+07:00,998.0
2025-05-22T17:05:04.090,2.31,true,2025-05-22T17:05:04.090+07:00,2025-05-22T17:05:03.123+07:00,967.0
2025-05-22T17:05:05.096,2.08,true,2025-05-22T17:05:05.096+07:00,2025-05-22T17:05:04.090+07:00,1006.0
2025-05-22T17:05:05.936,2.13,true,2025-05-22T17:05:05.936+07:00,2025-05-22T17:05:05.096+07:00,840.0
2025-05-22T17:05:07.372,2.23,true,2025-05-22T17:05:07.372+07:00,2025-05-22T17:05:05.936+07:00,1436.0
2025-05-22T17:05:08.396,2.11,true,2025-05-22T17:05:08.396+07:00,2025-05-22T17:05:07.372+07:00,1024.0
2025-05-22T17:05:09.318,2.14,true,2025-05-22T17:05:09.318+07:00,2025-05-22T17:05:08.396+07:00,922.0
2025-05-22T17:05:09.659,1.71,true,2025-05-22T17:05:09.659+07:00,2025-05-22T17:05:09.318+07:00,341.0
2025-05-22T17:05:09.678,2.27,true,2025-05-22T17:05:09.678+07:00,2025-05-22T17:05:09.659+07:00,19.0
2025-05-22T17:05:09.697,1.77,true,2025-05-22T17:05:09.697+07:00,2025-05-22T17:05:09.678+07:00,19.0
2025-05-22T17:05:09.716,1.59,true,2025-05-22T17:05:09.716+07:00,2025-05-22T17:05:09.697+07:00,19.0
2025-05-22T17:05:10.248,2.0,true,2025-05-22T17:05:10.248+07:00,2025-05-22T17:05:09.716+07:00,532.0
2025-05-22T17:05:11.073,2.0,true,2025-05-22T17:05:11.073+07:00,2025-05-22T17:05:10.248+07:00,825.0
2025-05-22T17:05:12.206,2.35,true,2025-05-22T17:05:12.206+07:00,2025-05-22T17:05:11.073+07:00,1133.0
2025-05-22T17:05:13.204,2.42,true,2025-05-22T17:05:13.204+07:00,2025-05-22T17:05:12.206+07:00,998.0
2025-05-22T17:05:14.238,2.05,true,2025-05-22T17:05:14.238+07:00,2025-05-22T17:05:13.204+07:00,1034.0
2025-05-22T17:05:15.183,2.12,true,2025-05-22T17:05:15.183+07:00,2025-05-22T17:05:14.238+07:00,945.0
2025-05-22T17:05:16.012,2.04,true,2025-05-22T17:05:16.012+07:00,2025-05-22T17:05:15.183+07:00,829.0
2025-05-22T17:05:16.912,2.36,true,2025-05-22T17:05:16.912+07:00,2025-05-22T17:05:16.012+07:00,900.0
2025-05-22T17:05:17.824,2.02,true,2025-05-22T17:05:17.824+07:00,2025-05-22T17:05:16.912+07:00,912.0
2025-05-22T17:05:18.686,2.17,true,2025-05-22T17:05:18.686+07:00,2025-05-22T17:05:17.824+07:00,862.0
2025-05-22T17:05:19.627,2.26,true,2025-05-22T17:05:19.627+07:00,2025-05-22T17:05:18.686+07:00,941.0
2025-05-22T17:05:20.541,2.17,true,2025-05-22T17:05:20.541+07:00,2025-05-22T17:05:19.627+07:00,914.0
2025-05-22T17:05:21.235,2.03,true,2025-05-22T17:05:21.235+07:00,2025-05-22T17:05:20.541+07:00,694.0
2025-05-22T17:05:21.925,2.08,true,2025-05-22T17:05:21.925+07:00,2025-05-22T17:05:21.235+07:00,690.0
2025-05-22T17:05:22.645,2.07,true,2025-05-22T17:05:22.645+07:00,2025-05-22T17:05:21.925+07:00,720.0
2025-05-22T17:05:23.413,2.11,true,2025-05-22T17:05:23.413+07:00,2025-05-22T17:05:22.645+07:00,768.0
2025-05-22T17:05:24.171,2.1,true,2025-05-22T17:05:24.171+07:00,2025-05-22T17:05:23.413+07:00,758.0
2025-05-22T17:05:25.596,2.36,true,2025-05-22T17:05:25.596+07:00,2025-05-22T17:05:24.171+07:00,1425.0
2025-05-22T17:05:26.597,2.15,true,2025-05-22T17:05:26.597+07:00,2025-05-22T17:05:25.596+07:00,1001.0
2025-05-22T17:05:27.512,2.08,true,2025-05-22T17:05:27.512+07:00,2025-05-22T17:05:26.597+07:00,915.0
2025-05-22T17:05:28.446,2.18,true,2025-05-22T17:05:28.446+07:00,2025-05-22T17:05:27.512+07:00,934.0
2025-05-22T17:05:29.451,2.12,true,2025-05-22T17:05:29.451+07:00,2025-05-22T17:05:28.446+07:00,1005.0
2025-05-22T17:05:30.689,2.19,true,2025-05-22T17:05:30.689+07:00,2025-05-22T17:05:29.451+07:00,1238.0
2025-05-22T17:05:31.596,2.14,true,2025-05-22T17:05:31.596+07:00,2025-05-22T17:05:30.689+07:00,907.0
2025-05-22T17:05:32.484,2.17,true,2025-05-22T17:05:32.484+07:00,2025-05-22T17:05:31.596+07:00,888.0
2025-05-22T17:05:33.553,2.25,true,2025-05-22T17:05:33.553+07:00,2025-05-22T17:05:32.484+07:00,1069.0
2025-05-22T17:05:34.903,2.31,true,2025-05-22T17:05:34.903+07:00,2025-05-22T17:05:33.553+07:00,1350.0
2025-05-22T17:05:35.893,2.17,true,2025-05-22T17:05:35.893+07:00,2025-05-22T17:05:34.903+07:00,990.0
2025-05-22T17:05:36.778,1.97,true,2025-05-22T17:05:36.778+07:00,2025-05-22T17:05:35.893+07:00,885.0
2025-05-22T17:05:37.666,2.21,true,2025-05-22T17:05:37.666+07:00,2025-05-22T17:05:36.778+07:00,888.0
2025-05-22T17:05:38.900,2.36,true,2025-05-22T17:05:38.900+07:00,2025-05-22T17:05:37.666+07:00,1234.0
2025-05-22T17:05:39.946,2.24,true,2025-05-22T17:05:39.946+07:00,2025-05-22T17:05:38.900+07:00,1046.0
2025-05-22T17:05:40.981,2.17,true,2025-05-22T17:05:40.981+07:00,2025-05-22T17:05:39.946+07:00,1035.0
2025-05-22T17:05:41.978,2.36,true,2025-05-22T17:05:41.978+07:00,2025-05-22T17:05:40.981+07:00,997.0
2025-05-22T17:05:43.009,2.1,true,2025-05-22T17:05:43.009+07:00,2025-05-22T17:05:41.978+07:00,1031.0
